languageCode,glottocode,family_name,classification
aiw,aari1239,South Omotic,South Omotic/AHK/Aari-Gayil/Aari
aay,aari1240,Bookkeeping,Bookkeeping/Aariya
aas,aasa1238,Afro-Asiatic,Afro-Asiatic/Cushitic/South Cushitic/Aasax
kbt,abad1241,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/Papuan Tip linkage/Peripheral Papuan Tip linkage/Central Papuan Oceanic/West Central Papuan linkage/Abadi
abg,abag1245,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Kainantu-Goroka/Goroka/Nuclear Goroka/Siane-Yagaria/Kamano-Yagaria/Unclassified Kamano-Yagaria/Abaga
abf,abai1240,Austronesian,Austronesian/Malayo-Polynesian/North Borneo Malayo-Polynesian/Sabahan/Southwest Sabahan/Greater Dusunic/Paitanic/Abai Sungai
abm,aban1242,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Ekoid-Mbe/Ekoid/Bakor-Ejagham/Bakor/Northern Bakor/Abanyom-Nkem-Nkum/Abanyom
mij,abar1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Yemne-Kimbi/Mungbam
aau,abau1245,Sepik,Sepik/Abau
abq,abaz1241,Abkhaz-Adyge,Abkhaz-Adyge/Abkhaz-Abaza/Abaza
aba,abee1242,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Nyo/Agneby/Abé
abp,aben1249,Austronesian,Austronesian/Malayo-Polynesian/Central Luzon/Sambalic/Abellen-Botolan/Abenlen Ayta
abi,abid1235,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Nyo/Agneby/Abidji
bsa,abin1243,Isolate,Abinomn
axb,abip1241,Guaicuruan,Guaicuruan/Guaicuru del Sur/Abipon
ash,abis1238,Isolate,Aewa
abk,abkh1244,Abkhaz-Adyge,Abkhaz-Adyge/Abkhaz-Abaza/Abkhaz
aob,abom1238,Anim,Anim/Tirio/Abom
abo,abon1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Tivoid/North Tivoid/Abon
abr,abro1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Nyo/Potou-Tano/Tano/Central Tano/Akanic/Abron
abn,abua1244,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Delta Cross/Central Delta/Abua-Odual/Abua
aah,abua1245,Nuclear Torricelli,Nuclear Torricelli/Kombio-Arapesh-Urat/Arapesh/Mufian-Bukiyip-Abu/Bukiyip-Abu/Abu' Arapesh
abz,abui1241,Timor-Alor-Pantar,Timor-Alor-Pantar/Alor-Pantar/Nuclear Alor-Pantar/Central Alor/Abuic/Abui
kgr,abun1252,Isolate,Abun
abu,abur1243,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Nyo/Potou-Tano/Tano/Western Tano/Abure
mgj,abur1244,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Delta Cross/Central Delta/Unclassified Central Delta/Abureni
ado,abuu1241,Ramu,Ramu/Agoan/Abu
tpx,acat1239,Otomanguean,Otomanguean/Western Otomanguean/Subtiaba-Tlapanec/Mephaa/North-Central Mephaa/West-Central Mephaa/Acatepec Me'phaa
acn,acha1249,Sino-Tibetan,Sino-Tibetan/Burmo-Qiangic/Lolo-Burmese/Burmish/Southern Burmish/Achangic/Longchuan Achang
aca,acha1250,Arawakan,Arawakan/Japura-Colombia/Nuclear Japura-Colombia/Northeast Japura-Colombia/Piapoco-Achagua/Achagua
yif,ache1244,Sino-Tibetan,Sino-Tibetan/Burmo-Qiangic/Lolo-Burmese/Loloish/Ni-Li-Kazhouish/Southeastern Ngwi/Nisoid/Unclassified Nisoid/Ache
acz,ache1245,Narrow Talodi,Narrow Talodi/Buram-Saraf/Acheron-Tocho/Acheron
guq,ache1246,Tupian,Tupian/Eastern Tupian/Maweti-Guarani/Aweti-Guarani/Tupi-Guarani/Southern Tupi-Guarani/Tupi-Guarani Subgroup I/Aché
acr,achi1256,Mayan,Mayan/Core Mayan/Quichean-Mamean/Greater Quichean/Core Quichean/Quiche-Achi/Achi
ace,achi1257,Austronesian,Austronesian/Malayo-Polynesian/Malayo-Chamic/Aceh-Chamic/Acehnese
acc,achi1258,Bookkeeping,"Bookkeeping/Achi', Cubulco"
acv,achu1247,Palaihnihan,Palaihnihan/Achumawi
acu,achu1248,Chicham,Chicham/Shuaric/Achuar-Shiwiar
ach,acol1236,Nilotic,Nilotic/Western Nilotic/Lwoo/Southern Lwoo/Acoli
acs,acro1239,Nuclear-Macro-Je,Nuclear-Macro-Je/Je/Cerrado/Central Je/Acroá
adb,adab1235,Bookkeeping,Bookkeeping/Adabe
xad,adai1235,Isolate,Adai
ads,adam1238,Sign Language,Sign Language/L1 Sign Language/Adamorobe Sign Language
fub,adam1253,Atlantic-Congo,Atlantic-Congo/North-Central Atlantic/Fula-Sereer/Fula/Eastern Fula/Adamawa-Bagirmi Fulfulde/Adamawa Fulfulde
ada,adan1247,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Ga-Dangme/Adangme
adq,adan1248,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Gbe/Western Gbe/Eweic/Adangbe
adn,adan1251,Timor-Alor-Pantar,Timor-Alor-Pantar/Alor-Pantar/Nuclear Alor-Pantar/West Alor-Straits-Pantar/West Alor/Adang
adp,adap1234,Bookkeeping,Bookkeeping/Adap
tiu,adas1235,Austronesian,Austronesian/Malayo-Polynesian/Northern Luzon/Cagayan Valley/Ibanagic/Adasen
ade,adel1244,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Na-Togo/Basila-Adele/Adele
adh,adho1243,Nilotic,Nilotic/Western Nilotic/Lwoo/Southern Lwoo/Adhola-Alur-Luo/Adhola-Luo/Adhola
adj,adio1239,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Nyo/Agneby/Adioukrou
ort,adiv1239,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Indo-Aryan/Middle-Modern Indo-Aryan/Continental Indo-Aryan/Indo-Aryan Eastern zone/Oriya-Gauda-Kamrupa/Macro-Oriya/Kotia-Adivasi Oriya-Desiya
gas,adiw1235,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Indo-Aryan/Middle-Modern Indo-Aryan/Continental Indo-Aryan/Midlands Indo-Aryan/Bhil/Garasia Bhil/Adiwasi Garasia
adt,adny1235,Pama-Nyungan,Pama-Nyungan/Arandic-Thura-Yura/Thura-Yura/Core Thura Yura/Northern Thura-Yura/Adnyamathanha
adr,adon1237,Austronesian,Austronesian/Malayo-Polynesian/Bima-Lembata/Flores/Flores-Lembata/Lamaholot Barat/North Lembata-Adonara/Adonara
adu,adug1238,Bookkeeping,Bookkeeping/Aduge
ady,adyg1241,Abkhaz-Adyge,Abkhaz-Adyge/Circassian/West Circassian
adz,adze1240,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/North New Guinea linkage/Huon Gulf/Markham/Upper Markham/Adzera
azr,adze1241,Bookkeeping,Bookkeeping/Adzera (Retired)
aez,aeka1244,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Greater Binanderean/Binanderean/Nuclear Binanderean/South Binanderean/Orokaivic/Aeka
awi,aeky1238,Kamula-Elevala,Kamula-Elevala/Elevala/Aekyom
aeq,aerr1238,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Indo-Aryan/Middle-Modern Indo-Aryan/Continental Indo-Aryan/Midlands Indo-Aryan/Apabhramsic/Gujarati-Rajasthani/Gujaratic/Western Gujaratic/Aer
aal,afad1236,Afro-Asiatic,Afro-Asiatic/Chadic/Biu-Mandara/North Biu-Mandara/Kotoko-Buduma/Kotoko Septentrional/Kotoko Septentrional 1/Afade
aar,afar1241,Afro-Asiatic,Afro-Asiatic/Cushitic/East Cushitic/Lowland East Cushitic/Saho-Afar/Afar
afg,afgh1239,Sign Language,Sign Language/L1 Sign Language/Afghan Sign Language
aft,afit1238,Nyimang,Nyimang/Afitti
