translationId,countryCode,continentCode
rup,AL,EU
arq,DZ,AF
thv,DZ,AF
nkn,AO,AF
adt,AU,OC
alh,AU,OC
aly,AU,OC
aoi,AU,OC
amx,AU,OC
are,AU,OC
aer,AU,OC
awk,AU,OC
bvr,AU,OC
dwu,AU,OC
dwuliv,AU,OC
dwy,AU,OC
dif,AU,OC
djr,AU,OC
dhgduwadha,AU,OC
dhg,AU,OC
dhgdol,AU,OC
djj,AU,OC
dji,AU,OC
engbarkly,AU,OC
engnna,AU,OC
engPEV,AU,OC
kld,AU,OC
wrk,AU,OC
gnn,AU,OC
gup,AU,OC
gupmay,AU,OC
guf,AU,OC
gge,AU,OC
gue,AU,OC
kky,AU,OC
ibd,AU,OC
mwp,AU,OC
gia,AU,OC
rop,AU,OC
kux,AU,OC
gvn,AU,OC
wlg,AU,OC
kjn,AU,OC
gupk,AU,OC
lrg,AU,OC
mpj,AU,OC
mph,AU,OC
ulk,AU,OC
ulk1902,AU,OC
mwf2018,AU,OC
nck,AU,OC
nay,AU,OC
ntj,AU,OC
nys,AU,OC
nuy,AU,OC
nna,AU,OC
piu2006,AU,OC
pjt,AU,OC
rmb,AU,OC
thd,AU,OC
tiwm,AU,OC
tiw,AU,OC
tcs,AU,OC
wmt,AU,OC
wbp,AU,OC
wim,AU,OC
wro,AU,OC
jay,AU,OC
jao,AU,OC
yij,AU,OC
tkr,AZ,EU
udi,AZ,EU
ben2006,BD,AS
benirv,BD,AS
benobcv,BD,AS
cdz,BD,AS
syll,BD,AS
syl,BD,AS
syls,BD,AS
bel,BY,EU
beln,BY,EU
nldgbv,BE,EU
bzj,BZ,NA
mopNT,BH,AS
bba,BJ,AF
tbzsim,BJ,AF
fue,BJ,AF
fuhbkf,BJ,AF
dop,BJ,AF
soy,BJ,AF
mkl,BJ,AF
cavNT,BO,SA
caoNT,BO,SA
capNT,BO,SA
caxNT,BO,SA
eseNT,BO,SA
guiNT,BO,SA
gnwNT,BO,SA
gyrNT,BO,SA
ignNT,BO,SA
qulNT,BO,SA
quhNT,BO,SA
srqNT,BO,SA
tnaNT,BO,SA
nhr,BW,AF
tsn,BW,AF
apyNT,BR,SA
apnNT,BR,SA
apuNT,BR,SA
bkqNT,BR,SA
bor,BR,SA
ram,BR,SA
des,BR,SA
gubBl,BR,SA
gun,BR,SA
hixNT,BR,SA
jaa,BR,SA
urbNT,BR,SA
kbcNT,BR,SA
kgpNT,BR,SA
kgkNT,BR,SA
kpjNT,BR,SA
kyzNT,BR,SA
txuNT,BR,SA
cul,BR,SA
mbcNT,BR,SA
mblNT,BR,SA
myu,BR,SA
mbjNT,BR,SA
nabNT,BR,SA
plu,BR,SA
pabNT,BR,SA
padNT,BR,SA
porblt,BR,SA
poronbv,BR,SA
por-WBTC,BR,SA
porbr2018,BR,SA
portft,BR,SA
porbrbsl,BR,SA
rkbNT,BR,SA
mavNT,BR,SA
pahNT,BR,SA
terNT,BR,SA
tuoNT,BR,SA
xavNT,BR,SA
bib,BF,AF
boxNT,BF,AF
cmeNT,BF,AF
xrb,BF,AF
gux,BF,AF
guxg,BF,AF
dyu,BF,AF
xsm,BF,AF
nnw,BF,AF
wib,BF,AF
khm-h,KH,AS
khm,KH,AS
tpu,KH,AS
bssNT,CM,AF
bfd,CM,AF
bmo,CM,AF
bcw,CM,AF
mcu,CM,AF
cug,CM,AF
anvNT,CM,AF
xed,CM,AF
kkj,CM,AF
kenNT,CM,AF
mcp,CM,AF
mfh,CM,AF
mqbNT,CM,AF
meq,CM,AF
mif,CM,AF
muy,CM,AF
ncr,CM,AF
nhuNT,CM,AF
asj,CM,AF
mfi,CM,AF
yam,CM,AF
alqALGNT,CA,NA
bea,CA,NA
bla,CA,NA
crxNTpo,CA,NA
cafNT,CA,NA
crl,CA,NA
dgrDOGNT,CA,NA
crj,CA,NA
micMIQNT,CA,NA
ksp,CF,AF
bjvNT,TD,AF
daaNT,TD,AF
gqr,TD,AF
kyq,TD,AF
kqp,TD,AF
xuo,TD,AF
mge,TD,AF
moz,TD,AF
sor,TD,AF
arnNT,CI,AF
bzi,CN,AS
cmn2006,CN,AS
cmn-ncvs,CN,AS
cmn-ncvt,CN,AS
cmn-cu89s,CN,AS
cmn-cu89t,CN,AS
cmnfeb,CN,AS
sce,CN,AS
lhi,CN,AS
cmncbt,CN,AS
cmncbs,CN,AS
bod,CN,AS
bodn,CN,AS
uigara,CN,AS
uigcyr,CN,AS
uigpin,CN,AS
uiglat,CN,AS
aca,CO,SA
kwi,CO,SA
bsnNT,CO,SA
cbv,CO,SA
kbh,CO,SA
cbcNT,CO,SA
cubNT,CO,SA
cui,CO,SA
sjaNT,CO,SA
guh,CO,SA
gum,CO,SA
gvc,CO,SA
guoNT,CO,SA
hto,CO,SA
inb,CO,SA
kog,CO,SA
coe,CO,SA
myy,CO,SA
bmrNT,CO,SA
pbb,CO,SA
pioNT,CO,SA
pirNT,CO,SA
snnNT,CO,SA
sri,CO,SA
tnc,CO,SA
tav,CO,SA
tuf,CO,SA
tue,CO,SA
baoNT,CO,SA
guc,CO,SA
noaE,CO,SA
noaH,CO,SA
ycn,CO,SA
bkw,CG,AF
mkw,CG,AF
tyx,CG,AF
iyx,CG,AF
bzdNTpo,CR,NA
adj,CI,AF
any,CI,AF
dnj,CI,AF
daf,CI,AF
dyi,CI,AF
kyf,CI,AF
moa,CI,AF
nwb,CI,AF
ktj,CI,AF
ted,CI,AF
wob,CI,AF
yreNT,CI,AF
hrv,HR,EU
hrvbib,HR,EU
ronludari,HR,EU
ces1613,CZ,EU
ceslb,CZ,EU
cesnkb,CZ,EU
flr,CD,AF
hav,CD,AF
yom,CD,AF
lik,CD,AF
lin,CD,AF
loq,CD,AF
log,CD,AF
mdm,CD,AF
mnh,CD,AF
niy,CD,AF
shr,CD,AF
tap,CD,AF
yaf,CD,AF
yns,CD,AF
dan1931,DK,EU
cbiNTpo,EC,SA
conNTpo,EC,SA
cofNT,EC,SA
qvzNT,EC,SA
qxl,EC,SA
seyNT,EC,SA
jivNT,EC,SA
aucNT,EC,SA
arbwbtc,EG,AF
arbnav,EG,AF
copbhc,EG,AF
copcnt,EG,AF
copshc,EG,AF
ekkpkp,EE,EU
ekk,EE,EU
alw,ET,AF
amh,ET,AF
bswl,ET,AF
bswe,ET,AF
bwo,ET,AF
dwrENT,ET,AF
dwrNT,ET,AF
dwrl,ET,AF
gmve,ET,AF
gmvl,ET,AF
gmvRNT,ET,AF
gmvggm,ET,AF
gyl,ET,AF
gofl,ET,AF
gofwftw,ET,AF
gofENT,ET,AF
gofRNT,ET,AF
gofe,ET,AF
gax,ET,AF
amf,ET,AF
mdyeth,ET,AF
mdybse,ET,AF
mfxl,ET,AF
mfxe,ET,AF
gaz,ET,AF
gaze,ET,AF
oydl,ET,AF
oyde,ET,AF
wal,ET,AF
jnje,ET,AF
jnjl,ET,AF
fin,FI,EU
breBRG,FR,EU
frasbl,FR,EU
fraLSG,FR,EU
francl,FR,EU
fra_fob,FR,EU
frajnd,FR,EU
puu,GA,AF
deuelbbk,DE,EU
deu1912,DE,EU
deu1951,DE,EU
deutkw,DE,EU
deuelo,DE,EU
cko,GH,AF
bim,GH,AF
biv,GH,AF
bwu,GH,AF
ncuNT,GH,AF
ntr,GH,AF
ewe,GH,AF
acd,GH,AF
xon,GH,AF
kma,GH,AF
naw,GH,AF
nkoNT,GH,AF
lip,GH,AF
snw,GH,AF
sig,GH,AF
sil,GH,AF
akp,GH,AF
bov,GH,AF
twi,GH,AF
twiasante,GH,AF
grcbrent,GR,EU
grcbyz,GR,EU
grcmt,GR,EU
grcf35,GR,EU
grcsbl,GR,EU
grclxx,GR,EU
grcsr,GR,EU
grctcgnt,GR,EU
grctr,GR,EU
grc-tisch,GR,EU
cha,GU,OC
acrNNT,GT,NA
acrTNT,GT,NA
acr-acc,GT,NA
aguBl,GT,NA
knjNT,GT,NA
caa,GT,NA
cac,GT,NA
ixlCNT,GT,NA
ixlNNT,GT,NA
jacNT,GT,NA
qucNNT,GT,NA
qucTNT,GT,NA
quctt,GT,NA
cakENT,GT,NA
cak,GT,NA
cakCNT,GT,NA
cakNT,GT,NA
cakSNT,GT,NA
cakYNT,GT,NA
cakWNT,GT,NA
mamC,GT,NA
mamNT,GT,NA
pohNT,GT,NA
kekNT,GT,NA
ttcNT,GT,NA
tzjE,GT,NA
tzjNT,GT,NA
uspNT,GT,NA
bsp,GN,AF
fuf,GN,AF
msc,GN,AF
sus,GN,AF
susa,GN,AF
tod,GN,AF
yal,GN,AF
akeNT,GY,SA
wapNT,GY,SA
hat,HT,NA
hatbsa,HT,NA
cabNT,HN,NA
jicNT,HN,NA
hun,HU,EU
isl,IS,EU
esg,IN,AS
ahr,IN,AS
asmfb,IN,AS
bpx,IN,AS
bhd,IN,AS
bht,IN,AS
bhi,IN,AS
bhu,IN,AS
bdv,IN,AS
bgg,IN,AS
hne,IN,AS
tczchongthu,IN,AS
dso,IN,AS
dhn,IN,AS
gbl,IN,AS
gaq,IN,AS
goj,IN,AS
gok,IN,AS
guj2009,IN,AS
guj2017,IN,AS
hlb,IN,AS
bgc,IN,AS
hincv,IN,AS
hin2010,IN,AS
hin2017,IN,AS
hoy,IN,AS
hru,IN,AS
juy,IN,AS
kanokcv,IN,AS
kan2010,IN,AS
kanirv,IN,AS
nit,IN,AS
kfc,IN,AS
kfcp,IN,AS
kff,IN,AS
key,IN,AS
kxv,IN,AS
kus,IN,AS
lbj,IN,AS
lbm,IN,AS
mai,IN,AS
mal2015,IN,AS
mal,IN,AS
mar,IN,AS
mrr,IN,AS
mni,IN,AS
unx,IN,AS
nag,IN,AS
kfw,IN,AS
tvt,IN,AS
nlx,IN,AS
ory,IN,AS
bfz,IN,AS
pan,IN,AS
peg,IN,AS
pwr,IN,AS
pub,IN,AS
rei,IN,AS
sch,IN,AS
sankan,IN,AS
sankhm,IN,AS
sanmal,IN,AS
sanori,IN,AS
sanpun,IN,AS
sansin,IN,AS
santam,IN,AS
santel,IN,AS
santha,IN,AS
santib,IN,AS
sanurd,IN,AS
sanvel,IN,AS
sancol,IN,AS
sanias,IN,AS
sanbur,IN,AS
sanasm,IN,AS
sanben,IN,AS
sandev,IN,AS
sanguj,IN,AS
sanhk,IN,AS
saniso,IN,AS
sanitr,IN,AS
sle,IN,AS
tgj,IN,AS
tamtcv,IN,AS
tam2008,IN,AS
tam2017,IN,AS
tel2010,IN,AS
tel2017,IN,AS
telotsa,IN,AS
thr,IN,AS
urdgvh,IN,AS
vaa,IN,AS
wbq,IN,AS
marc,IN,AS
kans,IN,AS
malc,IN,AS
alpNT,ID,AS
aaz,ID,AS
amk,ID,AS
auu,ID,AS
blzNT,ID,AS
ptu,ID,AS
beu,ID,AS
row,ID,AS
nfa,ID,AS
frd,ID,AS
hvn,ID,AS
hegNTpo,ID,AS
indayt,ID,AS
ind,ID,AS
indags,ID,AS
kjeNT,ID,AS
mkn,ID,AS
llg,ID,AS
lex,ID,AS
ayz,ID,AS
pmy,ID,AS
mqjNT,ID,AS
mzq,ID,AS
nbq,ID,AS
nxl,ID,AS
ury,ID,AS
pdo,ID,AS
rgu,ID,AS
slu,ID,AS
set,ID,AS
tet,ID,AS
txq,ID,AS
wlo,ID,AS
kkl,ID,AS
yvaNT,ID,AS
